Restr,Index,Valor,Se cumple
Rest_est,"(1, 1)",20.0,True
Rest_est,"(1, 2)",25.173,True
Rest_est,"(1, 3)",50.226,True
Rest_est,"(2, 1)",0.508,True
Rest_est,"(2, 2)",25.079,True
R1,"(1, 1)",0.0,True
R1,"(1, 2)",-1242.844,True
R1,"(1, 3)",-2446.445,True
R1,"(2, 1)",-1749.9,True
R1,"(2, 2)",-1236.154,True
R2,"(1, 1, 1, 2)",0.0,True
R2,"(1, 1, 1, 3)",0.0,True
R2,"(1, 1, 2, 1)",0.157,True
R2,"(1, 1, 2, 2)",0.017,True
R2,"(1, 2, 1, 1)",0.0,True
R2,"(1, 2, 1, 3)",0.135,True
R2,"(1, 2, 2, 1)",0.575,True
R2,"(1, 2, 2, 2)",0.065,True
R2,"(1, 3, 1, 1)",0.0,True
R2,"(1, 3, 1, 2)",0.0,True
R2,"(1, 3, 2, 1)",4.385,True
R2,"(1, 3, 2, 2)",0.301,True
R2,"(2, 1, 1, 1)",0.0,True
R2,"(2, 1, 1, 2)",0.019,True
R2,"(2, 1, 1, 3)",0.055,True
R2,"(2, 1, 2, 2)",0.0,True
R2,"(2, 2, 1, 1)",0.0,True
R2,"(2, 2, 1, 2)",0.046,True
R2,"(2, 2, 1, 3)",0.655,True
R2,"(2, 2, 2, 1)",0.0,True
R3,"(1, 1)",0.0,True
R3,"(1, 2)",0.0,True
R3,"(1, 3)",0.0,True
R3,"(2, 1)",0.0,True
R3,"(2, 2)",0.0,True
R4,"(1, 1)",-19.826,True
R4,"(1, 2)",-24.463,True
R4,"(1, 3)",-46.386,True
R4,"(2, 1)",-5.551,True
R4,"(2, 2)",-24.76,True
Lg,"(1, 1, 1, 2)",0.0,True
Lg,"(1, 1, 1, 3)",0.0,True
Lg,"(1, 1, 2, 1)",-0.0,True
Lg,"(1, 1, 2, 2)",-0.0,True
Lg,"(1, 2, 1, 1)",0.0,True
Lg,"(1, 2, 1, 3)",0.0,True
Lg,"(1, 2, 2, 1)",-0.0,True
Lg,"(1, 2, 2, 2)",-0.0,True
Lg,"(1, 3, 1, 1)",0.0,True
Lg,"(1, 3, 1, 2)",0.0,True
Lg,"(1, 3, 2, 1)",-0.0,True
Lg,"(1, 3, 2, 2)",-0.0,True
Lg,"(2, 1, 1, 1)",-0.0,True
Lg,"(2, 1, 1, 2)",-0.0,True
Lg,"(2, 1, 1, 3)",-0.0,True
Lg,"(2, 1, 2, 2)",0.0,True
Lg,"(2, 2, 1, 1)",-0.0,True
Lg,"(2, 2, 1, 2)",-0.0,True
Lg,"(2, 2, 1, 3)",-0.0,True
Lg,"(2, 2, 2, 1)",-0.0,True
comp_1,"(1, 1)",0.0,True
comp_4,"(1, 1)",-0.0,True
comp_1,"(1, 2)",-0.0,True
comp_4,"(1, 2)",-0.0,True
comp_1,"(1, 3)",-0.0,True
comp_4,"(1, 3)",-0.0,True
comp_1,"(2, 1)",-0.0,True
comp_4,"(2, 1)",-0.0,True
comp_1,"(2, 2)",-0.0,True
comp_4,"(2, 2)",-0.0,True
comp_2,"(1, 1, 1, 2)",0.0,True
comp_2,"(1, 1, 1, 3)",0.0,True
comp_2,"(1, 1, 2, 1)",0.0,True
comp_2,"(1, 1, 2, 2)",0.0,True
comp_2,"(1, 2, 1, 1)",0.0,True
comp_2,"(1, 2, 1, 3)",0.0,True
comp_2,"(1, 2, 2, 1)",0.0,True
comp_2,"(1, 2, 2, 2)",0.0,True
comp_2,"(1, 3, 1, 1)",0.0,True
comp_2,"(1, 3, 1, 2)",0.0,True
comp_2,"(1, 3, 2, 1)",0.0,True
comp_2,"(1, 3, 2, 2)",0.0,True
comp_2,"(2, 1, 1, 1)",0.0,True
comp_2,"(2, 1, 1, 2)",0.0,True
comp_2,"(2, 1, 1, 3)",0.0,True
comp_2,"(2, 1, 2, 2)",0.0,True
comp_2,"(2, 2, 1, 1)",0.0,True
comp_2,"(2, 2, 1, 2)",0.0,True
comp_2,"(2, 2, 1, 3)",0.0,True
comp_2,"(2, 2, 2, 1)",0.0,True
mu,"(1, 1)",0.0,True
mu,"(1, 1)",0.0,True
mu,"(1, 2)",0.0,True
mu,"(1, 2)",0.0,True
mu,"(1, 3)",0.0,True
mu,"(1, 3)",0.0,True
mu,"(2, 1)",0.0,True
mu,"(2, 1)",0.0,True
mu,"(2, 2)",0.0,True
mu,"(2, 2)",0.0,True
mu_2,"(1, 1, 1, 2)",0.0,True
mu_2,"(1, 1, 1, 3)",0.0,True
mu_2,"(1, 1, 2, 1)",0.0,True
mu_2,"(1, 1, 2, 2)",0.0,True
mu_2,"(1, 2, 1, 1)",0.0,True
mu_2,"(1, 2, 1, 3)",0.0,True
mu_2,"(1, 2, 2, 1)",0.0,True
mu_2,"(1, 2, 2, 2)",0.0,True
mu_2,"(1, 3, 1, 1)",1.0,True
mu_2,"(1, 3, 1, 2)",0.0,True
mu_2,"(1, 3, 2, 1)",0.0,True
mu_2,"(1, 3, 2, 2)",0.0,True
mu_2,"(2, 1, 1, 1)",0.0,True
mu_2,"(2, 1, 1, 2)",0.0,True
mu_2,"(2, 1, 1, 3)",0.0,True
mu_2,"(2, 1, 2, 2)",0.0,True
mu_2,"(2, 2, 1, 1)",0.0,True
mu_2,"(2, 2, 1, 2)",0.0,True
mu_2,"(2, 2, 1, 3)",0.0,True
mu_2,"(2, 2, 2, 1)",0.0,True
